publicId,routeCode,serviceCode,operatorCode,operatorRelation,routeFromCode,routeFrom,routeToCode,routeTo,serviceDate,localTime,timezone,pickupPointCodes,capacity,farePerSeatMinor,depositRuleCode,pricePolicyVersion,refundPolicyVersion,incentivePolicyVersion,status
dep_demo_hue_nha_20300620_0700_own,HUE-NHA,HUE-NHA-0700,ctc_demo_own,OWN_FLEET,HUE,Hue,NHA,Nha Trang,2030-06-20,07:00,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,20,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_hue_nha_20300620_0720_partner,HUE-NHA,HUE-NHA-0720,ctc_partner_verified,VERIFIED_PARTNER,HUE,Hue,NHA,Nha Trang,2030-06-20,07:20,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,24,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_hue_nha_20300620_0730_own,HUE-NHA,HUE-NHA-0730,ctc_demo_own,OWN_FLEET,HUE,Hue,NHA,Nha Trang,2030-06-20,07:30,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,20,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_hue_nha_20300620_0800_own,HUE-NHA,HUE-NHA-0800,ctc_demo_own,OWN_FLEET,HUE,Hue,NHA,Nha Trang,2030-06-20,08:00,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,20,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_hue_nha_20300620_0745_cancelled,HUE-NHA,HUE-NHA-0745,ctc_demo_own,OWN_FLEET,HUE,Hue,NHA,Nha Trang,2030-06-20,07:45,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,20,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,CANCELLED
dep_demo_cto_dli_20300620_0630_own,CTO-DLI,CTO-DLI-0630,ctc_demo_own,OWN_FLEET,CTO,Can Tho,DLI,Da Lat,2030-06-20,06:30,Asia/Ho_Chi_Minh,CTO_TERMINAL|CTO_CENTER,28,380000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_cto_dli_20300620_0700_partner,CTO-DLI,CTO-DLI-0700,ctc_partner_verified,VERIFIED_PARTNER,CTO,Can Tho,DLI,Da Lat,2030-06-20,07:00,Asia/Ho_Chi_Minh,CTO_TERMINAL|CTO_CENTER,30,380000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_cto_dli_20300620_0730_own,CTO-DLI,CTO-DLI-0730,ctc_demo_own,OWN_FLEET,CTO,Can Tho,DLI,Da Lat,2030-06-20,07:30,Asia/Ho_Chi_Minh,CTO_TERMINAL|CTO_CENTER,28,380000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_cto_dli_20300620_0815_own,CTO-DLI,CTO-DLI-0815,ctc_demo_own,OWN_FLEET,CTO,Can Tho,DLI,Da Lat,2030-06-20,08:15,Asia/Ho_Chi_Minh,CTO_TERMINAL|CTO_CENTER,28,380000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_cto_dli_20300620_0800_cancelled,CTO-DLI,CTO-DLI-0800,ctc_demo_own,OWN_FLEET,CTO,Can Tho,DLI,Da Lat,2030-06-20,08:00,Asia/Ho_Chi_Minh,CTO_TERMINAL|CTO_CENTER,28,380000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,CANCELLED
dep_demo_dad_bna_20300620_0600_own,DAD-BNA,DAD-BNA-0600,ctc_demo_own,OWN_FLEET,DAD,Da Nang,BNA,Buon Ma Thuot,2030-06-20,06:00,Asia/Ho_Chi_Minh,DAD_TERMINAL|DAD_CENTER,24,360000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_dad_bna_20300620_0630_partner,DAD-BNA,DAD-BNA-0630,ctc_partner_verified,VERIFIED_PARTNER,DAD,Da Nang,BNA,Buon Ma Thuot,2030-06-20,06:30,Asia/Ho_Chi_Minh,DAD_TERMINAL|DAD_CENTER,26,360000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_dad_bna_20300620_0700_own,DAD-BNA,DAD-BNA-0700,ctc_demo_own,OWN_FLEET,DAD,Da Nang,BNA,Buon Ma Thuot,2030-06-20,07:00,Asia/Ho_Chi_Minh,DAD_TERMINAL|DAD_CENTER,24,360000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_dad_bna_20300620_0830_own,DAD-BNA,DAD-BNA-0830,ctc_demo_own,OWN_FLEET,DAD,Da Nang,BNA,Buon Ma Thuot,2030-06-20,08:30,Asia/Ho_Chi_Minh,DAD_TERMINAL|DAD_CENTER,24,360000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_dad_bna_20300620_0745_cancelled,DAD-BNA,DAD-BNA-0745,ctc_demo_own,OWN_FLEET,DAD,Da Nang,BNA,Buon Ma Thuot,2030-06-20,07:45,Asia/Ho_Chi_Minh,DAD_TERMINAL|DAD_CENTER,24,360000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,CANCELLED
dep_demo_han_sap_20300620_2130_own,HAN-SAP,HAN-SAP-2130,ctc_demo_own,OWN_FLEET,HAN,Ha Noi,SAP,Sa Pa,2030-06-20,21:30,Asia/Ho_Chi_Minh,HAN_MY_DINH|HAN_CENTER,36,300000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_han_sap_20300620_2200_partner,HAN-SAP,HAN-SAP-2200,ctc_partner_verified,VERIFIED_PARTNER,HAN,Ha Noi,SAP,Sa Pa,2030-06-20,22:00,Asia/Ho_Chi_Minh,HAN_MY_DINH|HAN_CENTER,38,300000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_han_sap_20300620_2230_own,HAN-SAP,HAN-SAP-2230,ctc_demo_own,OWN_FLEET,HAN,Ha Noi,SAP,Sa Pa,2030-06-20,22:30,Asia/Ho_Chi_Minh,HAN_MY_DINH|HAN_CENTER,36,300000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_han_sap_20300620_2300_own,HAN-SAP,HAN-SAP-2300,ctc_demo_own,OWN_FLEET,HAN,Ha Noi,SAP,Sa Pa,2030-06-20,23:00,Asia/Ho_Chi_Minh,HAN_MY_DINH|HAN_CENTER,36,300000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_han_sap_20300620_2315_cancelled,HAN-SAP,HAN-SAP-2315,ctc_demo_own,OWN_FLEET,HAN,Ha Noi,SAP,Sa Pa,2030-06-20,23:15,Asia/Ho_Chi_Minh,HAN_MY_DINH|HAN_CENTER,36,300000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,CANCELLED
dep_demo_hue_nha_20300621_0700_own,HUE-NHA,HUE-NHA-0700,ctc_demo_own,OWN_FLEET,HUE,Hue,NHA,Nha Trang,2030-06-21,07:00,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,20,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_hue_nha_20300621_0720_partner,HUE-NHA,HUE-NHA-0720,ctc_partner_verified,VERIFIED_PARTNER,HUE,Hue,NHA,Nha Trang,2030-06-21,07:20,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,24,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_hue_nha_20300621_0730_own,HUE-NHA,HUE-NHA-0730,ctc_demo_own,OWN_FLEET,HUE,Hue,NHA,Nha Trang,2030-06-21,07:30,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,20,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_hue_nha_20300621_0800_own,HUE-NHA,HUE-NHA-0800,ctc_demo_own,OWN_FLEET,HUE,Hue,NHA,Nha Trang,2030-06-21,08:00,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,20,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_hue_nha_20300621_0745_cancelled,HUE-NHA,HUE-NHA-0745,ctc_demo_own,OWN_FLEET,HUE,Hue,NHA,Nha Trang,2030-06-21,07:45,Asia/Ho_Chi_Minh,HUE_TERMINAL|HUE_CENTER,20,420000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,CANCELLED
dep_demo_cto_dli_20300621_0630_own,CTO-DLI,CTO-DLI-0630,ctc_demo_own,OWN_FLEET,CTO,Can Tho,DLI,Da Lat,2030-06-21,06:30,Asia/Ho_Chi_Minh,CTO_TERMINAL|CTO_CENTER,28,380000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
dep_demo_cto_dli_20300621_0700_partner,CTO-DLI,CTO-DLI-0700,ctc_partner_verified,VERIFIED_PARTNER,CTO,Can Tho,DLI,Da Lat,2030-06-21,07:00,Asia/Ho_Chi_Minh,CTO_TERMINAL|CTO_CENTER,30,380000,DEPOSIT_50K,BUS-PRICE-V1,BUS-V1/1.0,SRRRO-V1,SCHEDULED
